2019/07/14 21:47:11 Step 0 ... 讀取config.property
2019/07/14 21:47:11 完成，共計讀取到 1 筆資料
=======================================
2019/07/14 21:47:11 Step 1 ... 根據設定檔逐一爬取資料
----------------------------------
2019/07/14 21:47:11 Step 1.0.1 ... 哈寵誌，跳轉到網址進行爬取
2019/07/14 21:47:14 Step 1.0.2 ... 哈寵誌，針對瀑布流網站進行頁面跳轉
2019/07/14 21:47:20 Step 1.0.3 ... 哈寵誌，訂閱者數量抓取
2019/07/14 21:47:20 Step 1.0.4 ... 哈寵誌，頁面元素解析	，完成，共計讀取到 137 筆資料
2019/07/14 21:49:02 Step 1.0.4.40 .. 【哈寵PETube】第40集 去旁編帶動唱，第0次嘗試內容解析	成功。
2019/07/14 21:49:04 Step 1.0.4.41 .. 【哈寵PETube】第39集 編輯好物大推薦(中1)，第0次嘗試內容解析	成功。
2019/07/14 21:49:06 Step 1.0.4.42 .. 【哈寵PETube】第38集 寵物精油芳療不癢央，第0次嘗試內容解析	成功。
2019/07/14 21:49:08 Step 1.0.4.43 .. 【哈寵PETube】第37集 抓猴神器!擊敗臭小三!，第0次嘗試內容解析	成功。
2019/07/14 21:49:11 Step 1.0.4.44 .. 【哈寵PETube】第36集 喵的咧!這些都想要，第0次嘗試內容解析	成功。
2019/07/14 21:49:13 Step 1.0.4.45 .. 【哈寵PETube】第34集 挑選貓砂盆學問大，第0次嘗試內容解析	成功。
2019/07/14 21:49:15 Step 1.0.4.46 .. 【哈寵PETube】第35集 貓皇出巡這樣穿，第0次嘗試內容解析	成功。
2019/07/14 21:49:18 Step 1.0.4.47 .. 【哈寵PETube】第33集 毛孩皮膚問題開世大會，第0次嘗試內容解析	成功。
2019/07/14 21:49:20 Step 1.0.4.48 .. 【哈寵PETube】第32集 破解毛小孩飼養迷思，第0次嘗試內容解析	成功。
2019/07/14 21:49:23 Step 1.0.4.49 .. 【哈寵PETube】第31集 超清新!毛孩口腔好物大推薦，第0次嘗試內容解析	成功。
2019/07/14 21:49:25 Step 1.0.4.50 .. 【哈寵PETube】第30集 寵物按摩消暑樂，第0次嘗試內容解析	成功。
2019/07/14 21:49:27 Step 1.0.4.51 .. 【哈寵PETube】第29集 超好玩!毛孩益智玩具評比，第0次嘗試內容解析	成功。
2019/07/14 21:49:30 Step 1.0.4.52 .. 【哈寵PETube】第28集 超進化!毛孩的食器時代，第0次嘗試內容解析	成功。
2019/07/14 21:49:32 Step 1.0.4.53 .. 【哈寵PETube】第27集 蟲蟲剋星除蟲用品介紹，第0次嘗試內容解析	成功。
2019/07/14 21:49:34 Step 1.0.4.54 .. 【哈寵PETube】第26集 潮濕悶熱寵物毛病怎麼治，第0次嘗試內容解析	成功。
2019/07/14 21:49:37 Step 1.0.4.55 .. 【哈寵PETube】第25集 編輯好物大推薦(上)，第0次嘗試內容解析	成功。
2019/07/14 21:49:39 Step 1.0.4.56 .. 【哈寵PETube】第24集 狗狗貓咪過敏原大作戰，第0次嘗試內容解析	成功。
2019/07/14 21:49:41 Step 1.0.4.57 .. 【哈寵PETube】第23集 線上iMAP帶你逛台北寵物展，第0次嘗試內容解析	成功。
2019/07/14 21:49:43 Step 1.0.4.58 .. 【哈寵PETube】 第22集 柴犬琦菲琦俊封面側拍花絮，第0次嘗試內容解析	成功。
2019/07/14 21:49:46 Step 1.0.4.59 .. 【哈寵PETube】 第21集 全新除蟲產品上市報導，第0次嘗試內容解析	成功。
2019/07/14 21:49:48 Step 1.0.4.60 .. 【哈寵PETube】 第20集 跳蚤跟狗狗回家怎麼辦，第0次嘗試內容解析	成功。
2019/07/14 21:49:50 Step 1.0.4.61 .. 【哈寵PETube】第19集青菜炒羊肉蓋飯，第0次嘗試內容解析	成功。
2019/07/14 21:49:53 Step 1.0.4.62 .. 【哈寵PETube】第18集 初夏狗狗外出注意事項，第0次嘗試內容解析	成功。
2019/07/14 21:49:55 Step 1.0.4.63 .. 【哈寵PETube】第17集 毛孩保健品怎麼選，第0次嘗試內容解析	成功。
2019/07/14 21:49:57 Step 1.0.4.64 .. 【哈寵PETube】第16集 狗狗的中暑急救指南，第0次嘗試內容解析	成功。
2019/07/14 21:50:00 Step 1.0.4.65 .. 【哈寵PETube】第15集 寵物急救包要放什麼，第0次嘗試內容解析	成功。
2019/07/14 21:50:02 Step 1.0.4.66 .. 【哈寵PETube】第14集 大眾運輸寵物怎麼搭，第0次嘗試內容解析	成功。
2019/07/14 21:50:04 Step 1.0.4.67 .. 【哈寵PETube】第13集 打擊寄生蟲怎麼做，第0次嘗試內容解析	成功。
